p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.74012514129976e-51,3.2804384025371,0.421,0.05,3.21000884815566e-47,0,Slc6a9
2.14550016586394e-51,3.89302625629062,0.336,0.031,3.95780415596921e-47,0,Prc1
1.05588349982388e-48,2.55500756406606,0.355,0.037,1.9477882921251e-44,0,Lockd
1.169621420024e-47,2.04913370309438,0.308,0.028,2.15760063351826e-43,0,Tal1
1.86387285929385e-47,3.42747815942414,0.523,0.09,3.43828626353936e-43,0,Car2
3.79864151772618e-46,6.0922456397886,0.439,0.064,7.00735400774949e-42,0,Cenpe
4.60535412263629e-43,-63.3522106438563,0.944,0.403,8.49549675002716e-39,0,Hbb-bs
1.01806122642478e-42,2.36990082519593,0.299,0.03,1.87801754438579e-38,0,Gypc
2.29782402186516e-42,3.7979476411514,0.393,0.054,4.23879597313466e-38,0,Tmpo
4.74867902441721e-42,4.63505055759322,0.355,0.045,8.75988819634243e-38,0,Neil3
2.67440203509234e-41,2.61806644688003,0.262,0.023,4.93346943413485e-37,0,Add2
2.6891200280363e-40,-10.5125696473904,0.766,0.23,4.96061971571857e-36,0,Marchf3
3.14620729479835e-39,3.06134787311935,0.364,0.05,5.80380859671452e-35,0,Kif11
5.58253388328603e-39,0.637320191603015,0.654,0.171,1.02981002544977e-34,0,Hba-a2
1.48987877629432e-38,-10.9172952806035,0.729,0.218,2.74837937863013e-34,0,Hbb-bt
6.9784329497425e-38,2.46628010387017,0.308,0.037,1.287311526239e-33,0,Tpx2
3.20220397833895e-37,3.18156297164715,0.28,0.03,5.90710567884186e-33,0,Tspan33
7.26675601485623e-37,2.74732133978528,0.271,0.029,1.34049848206053e-32,0,Depdc1b
1.08091408490498e-36,4.85171078038293,0.477,0.092,1.99396221242422e-32,0,Dek
5.41025799549459e-36,1.73739818303654,0.411,0.069,9.98030292428888e-32,0,Cpeb3
4.27207903475594e-35,-2.31064262146233,0.748,0.233,7.88070419541429e-31,0,Hectd4
5.68288783869074e-35,2.86746381374542,0.252,0.026,1.04832231960328e-30,0,Kif14
1.66525428994615e-33,4.08682936444767,0.561,0.143,3.07189458866367e-29,0,Hmgb2
2.0234332466296e-33,3.72884931900442,0.271,0.032,3.73262731005763e-29,0,Anln
9.04159244897126e-33,2.06899472271219,0.355,0.056,1.66790255906173e-28,0,Rhag
2.96814667408815e-32,-1.87553280190283,0.514,0.119,5.47534016969041e-28,0,Snca
5.50960885708521e-31,3.1851706066241,0.477,0.11,1.01635754586651e-26,0,Arhgef12
1.15193790167304e-29,4.58414367609327,0.299,0.045,2.12497984721626e-25,0,Hace1
2.9228347852054e-29,2.87444048152973,0.346,0.061,5.39175332826839e-25,0,Ermap
4.43061703728005e-29,1.94790543325547,0.355,0.063,8.1731592486705e-25,0,Marchf8
9.15484600375057e-29,3.47445057390781,0.29,0.043,1.68879444231187e-24,0,Abcb10
1.56547284136901e-28,4.34320991612135,0.645,0.22,2.88782775047341e-24,0,Anp32b
8.16832862242976e-28,2.18611317110039,0.43,0.096,1.50681158097962e-23,0,Rad21
1.05920118355433e-27,2.33445607277234,0.308,0.051,1.95390842330267e-23,0,Arhgap11a
2.1941555107177e-27,2.39228160559721,0.393,0.081,4.04755867062095e-23,0,Kel
2.82250129343719e-27,-10.4976708744258,0.766,0.287,5.20666813600358e-23,0,Epb41
3.87909234707105e-27,2.31983434763631,0.262,0.037,7.15576165264197e-23,0,Knl1
2.97278322042726e-25,3.1920468663994,0.505,0.145,5.48389320672216e-21,0,Slc25a37
1.44358324887936e-24,4.86091342124674,0.542,0.162,2.66297801920776e-20,0,Slc16a10
5.33911327720191e-24,1.46688777744377,0.598,0.191,9.84906226245437e-20,0,Trak2
1.60509623353459e-23,9.32319958634422,0.336,0.072,2.96092102200125e-19,0,Slc25a21
2.4973901216054e-23,1.68305912295814,0.374,0.083,4.60693555732549e-19,0,Alas2
5.03787531355871e-22,2.80292103012005,0.271,0.049,9.29336859092176e-18,0,Cit
7.52868659214206e-22,3.67289932490965,0.336,0.074,1.38881681565244e-17,0,Ckap5
1.21867197148693e-21,0.867414185999897,0.393,0.099,2.24808418580194e-17,0,Cd24a
2.30999258508047e-21,1.81015044323104,0.327,0.072,4.26124332169794e-17,0,Ncapd2
2.7320960986102e-21,2.18919133517301,0.374,0.092,5.03989767310623e-17,0,Incenp
4.6729047737986e-21,0.597213928852099,0.327,0.07,8.62010743622627e-17,0,Slc22a23
4.86092784911125e-21,1.71244392260143,0.346,0.08,8.96695360325552e-17,0,Anp32e
6.1878924131623e-21,1.76526567154277,0.364,0.088,1.14148051345605e-16,0,Hmbs
6.58081162922314e-21,-10.8074643018619,0.645,0.243,1.21396232124279e-16,0,Specc1
1.00283022360844e-20,14.30786181344,0.963,0.678,1.84992091349048e-16,0,Gm49817
6.64122904944689e-20,3.61872924354184,0.327,0.075,1.22510752275147e-15,0,Ank
2.32560375120226e-19,2.3225544477836,0.449,0.142,4.29004123984281e-15,0,Tfrc
6.08805667838687e-19,2.03488364946091,0.262,0.052,1.12306381546203e-14,0,Rnf123
9.52658192652383e-19,5.30242077262232,0.374,0.101,1.75736856798585e-14,0,Evi5
1.06835604211456e-18,3.20085053735012,0.374,0.105,1.97079639088873e-14,0,E2f2
4.8644228756321e-18,2.23941582731116,0.252,0.05,8.97340087867853e-14,0,Arl6ip1
7.04490671103791e-18,-3.54190210582704,0.336,0.087,1.29957394098516e-13,0,Mcph1
7.38071813254656e-18,3.73713356663018,0.579,0.226,1.36152107391086e-13,0,Herc1
3.64936310822947e-17,1.07680417269676,0.402,0.126,6.7319801257509e-13,0,Gpx1
6.0403385956847e-17,0.557373360264323,0.458,0.154,1.11426126074596e-12,0,Clcn3
